Voxel_Number,X,Y,Z
1,6,28,22
2,6,28,23
3,6,28,24
4,6,28,25
5,6,28,26
6,6,28,27
7,6,29,21
8,6,29,22
9,6,29,23
10,6,29,24
11,6,29,25
12,6,29,26
13,6,29,27
14,6,30,20
15,6,30,21
16,6,30,22
17,6,30,23
18,6,30,24
19,6,30,25
20,6,30,26
21,6,30,27
22,6,30,28
23,6,31,20
24,6,31,21
25,6,31,22
26,6,31,23
27,6,31,24
28,6,31,25
29,6,31,26
30,6,31,27
31,6,31,28
32,6,31,29
33,6,32,19
34,6,32,20
35,6,32,21
36,6,32,22
37,6,32,23
38,6,32,24
39,6,32,25
40,6,32,26
41,6,32,27
42,6,32,28
43,6,32,29
44,6,33,18
45,6,33,19
46,6,33,20
47,6,33,21
48,6,33,22
49,6,33,23
50,6,33,24
51,6,33,25
52,6,33,26
53,6,33,27
54,6,33,28
55,6,33,29
56,6,34,17
57,6,34,18
58,6,34,19
59,6,34,20
60,6,34,21
61,6,34,22
62,6,34,23
63,6,34,24
64,6,34,25
65,6,34,26
66,6,34,27
67,6,34,28
68,6,35,18
69,6,35,19
70,6,35,20
71,6,35,21
72,6,35,22
73,6,35,23
74,6,35,24
75,6,35,25
76,6,35,26
77,6,35,27
78,6,35,28
79,6,36,18
80,6,36,19
81,6,36,20
82,6,36,21
83,6,36,22
84,6,36,23
85,6,36,24
86,6,36,25
87,6,36,26
88,6,36,27
89,6,36,28
90,6,37,18
91,6,37,19
92,6,37,20
93,6,37,21
94,6,37,22
95,6,37,24
96,6,37,25
97,6,37,26
98,6,37,27
99,6,38,25
100,6,38,26
101,7,24,22
102,7,24,23
103,7,25,21
104,7,25,22
105,7,25,23
106,7,25,24
107,7,26,20
108,7,26,21
109,7,26,22
110,7,26,23
111,7,26,24
112,7,26,25
113,7,26,26
114,7,26,27
115,7,27,20
116,7,27,21
117,7,27,22
118,7,27,23
119,7,27,24
120,7,27,25
121,7,27,26
122,7,27,27
123,7,27,28
124,7,27,29
125,7,28,19
126,7,28,20
127,7,28,21
128,7,28,22
129,7,28,23
130,7,28,24
131,7,28,25
132,7,28,26
133,7,28,27
134,7,28,28
135,7,28,29
136,7,28,30
137,7,29,18
138,7,29,19
139,7,29,20
140,7,29,21
141,7,29,22
142,7,29,23
143,7,29,24
144,7,29,25
145,7,29,26
146,7,29,27
147,7,29,28
148,7,29,29
149,7,29,30
150,7,29,31
151,7,29,32
152,7,29,34
153,7,29,35
154,7,29,36
155,7,30,17
156,7,30,18
157,7,30,19
158,7,30,20
159,7,30,21
160,7,30,22
161,7,30,23
162,7,30,24
163,7,30,25
164,7,30,26
165,7,30,27
166,7,30,28
167,7,30,29
168,7,30,30
169,7,30,31
170,7,30,32
171,7,30,33
172,7,30,34
173,7,30,35
174,7,30,36
175,7,31,15
176,7,31,16
177,7,31,17
178,7,31,18
179,7,31,19
180,7,31,20
